"Address","Street","City","State","ZipCode","zpid","url","hasImage","status","soldPrice","beds","baths","area","latitude","longitude","isZillowOwned","soldDate","Type","lotArea","lotAreaUnits","taxAssessedValue"
"7532 Ardmore St, Pittsburgh, PA 15218","7532 Ardmore St","Pittsburgh","PA",15218,11345882,"https://www.zillow.com/homedetails/7532-Ardmore-St-Pittsburgh-PA-15218/11345882_zpid/",TRUE,"SOLD",139900,NA,0,NA,40.41928,-79.88388,FALSE,"2021-01-11","MULTI_FAMILY",NA,NA,60000
"7135 Whipple St, Pittsburgh, PA 15218","7135 Whipple St","Pittsburgh","PA",15218,11344439,"https://www.zillow.com/homedetails/7135-Whipple-St-Pittsburgh-PA-15218/11344439_zpid/",NA,"SOLD",187758,4,2.5,1795,40.424267,-79.89751,FALSE,"2021-01-11","MULTI_FAMILY",3594,"sqft",74000
"7213 Schley Ct, Pittsburgh, PA 15218","7213 Schley Ct","Pittsburgh","PA",15218,11345957,"https://www.zillow.com/homedetails/7213-Schley-Ct-Pittsburgh-PA-15218/11345957_zpid/",TRUE,"SOLD",187758,2,1,850,40.41758,-79.89175,FALSE,"2021-01-11","TOWNHOUSE",1424,"sqft",28200
"7217 Schley Ct, Pittsburgh, PA 15218","7217 Schley Ct","Pittsburgh","PA",15218,11345955,"https://www.zillow.com/homedetails/7217-Schley-Ct-Pittsburgh-PA-15218/11345955_zpid/",TRUE,"SOLD",187758,2,1,850,40.417534,-79.891785,FALSE,"2021-01-11","TOWNHOUSE",1958,"sqft",29700
"7502 Roslyn St, Pittsburgh, PA 15218","7502 Roslyn St","Pittsburgh","PA",15218,11346118,"https://www.zillow.com/homedetails/7502-Roslyn-St-Pittsburgh-PA-15218/11346118_zpid/",TRUE,"SOLD",155000,3,1,1400,40.418633,-79.88542,FALSE,"2021-01-07","SINGLE_FAMILY",0,"sqft",35800
"2614 Belmar Pl, Pittsburgh, PA 15218","2614 Belmar Pl","Pittsburgh","PA",15218,11383692,"https://www.zillow.com/homedetails/2614-Belmar-Pl-Pittsburgh-PA-15218/11383692_zpid/",TRUE,"SOLD",85000,3,1,1288,40.414646,-79.87616,FALSE,"2021-01-07","SINGLE_FAMILY",0,"sqft",67500
"6906 McClure Ave, Pittsburgh, PA 15218","6906 McClure Ave","Pittsburgh","PA",15218,11345419,"https://www.zillow.com/homedetails/6906-McClure-Ave-Pittsburgh-PA-15218/11345419_zpid/",TRUE,"SOLD",189000,3,2,1100,40.41916,-79.8978,FALSE,"2021-01-04","SINGLE_FAMILY",5998,"sqft",125000
"104 Race St, Pittsburgh, PA 15218","104 Race St","Pittsburgh","PA",15218,11343388,"https://www.zillow.com/homedetails/104-Race-St-Pittsburgh-PA-15218/11343388_zpid/",TRUE,"SOLD",285000,4,1,1518,40.433952,-79.88581,FALSE,"2020-12-31","SINGLE_FAMILY",0,"sqft",241400
"2447 S Braddock Ave, Pittsburgh, PA 15218","2447 S Braddock Ave","Pittsburgh","PA",15218,11383409,"https://www.zillow.com/homedetails/2447-S-Braddock-Ave-Pittsburgh-PA-15218/11383409_zpid/",TRUE,"SOLD",25150,3,1,1608,40.417465,-79.87877,FALSE,"2020-12-31","SINGLE_FAMILY",6098.4,"sqft",59800
"1328-1300 Pocono St, Pittsburgh, PA 15218","1328-1300 Pocono St","Pittsburgh","PA",15218,2077828585,"https://www.zillow.com/homedetails/1328-1300-Pocono-St-Pittsburgh-PA-15218/2077828585_zpid/",TRUE,"SOLD",555989,NA,0,NA,NA,NA,FALSE,"2020-12-31","MULTI_FAMILY",NA,NA,NA
