Address,Street,City,State,ZipCode,zpid,url,hasImage,status,soldPrice,beds,baths,area,latitude,longitude,isZillowOwned,soldDate,Type,lotArea,lotAreaUnits,taxAssessedValue,yearBuilt,livingArea,hoaFee,sunScore,buildFactor,climateFactor,electricityFactor,solarFactor,description,suburb,hasCooling,cooling,heating,parkingCapacity,parkingLocation,garageCapacity,basement,flooring,view,stories,porch,pricePerSquareFoot,roof,style,listDate,listPrice,walk_score,transit_score,bike_score
"106 N Fairmount St, Pittsburgh, PA 15206",106 N Fairmount St,Pittsburgh,PA,15206,11623557,https://www.zillow.com/homedetails/106-N-Fairmount-St-Pittsburgh-PA-15206/11623557_zpid/,TRUE,SOLD,220000,6,3,2815,40.464703,-79.931816,FALSE,1/21/2022,SINGLE_FAMILY,3624.192,sqft,78100,1910,2815,0,82.81,70.4,6.06,2.91,3.44,"Lovely home in a prime East Liberty location, close to so many hotspots and conveniences! A sprawling covered porch welcomes you to a goreous early 1900's entryway complete with a fireplace and ornate staircase. Large living room and huge formal dining room are wonderful living and entertaining spaces. The eat-in kitchen is nice sized with an additional adjacent  room that is currently set up as a butler's pantry with an extra fridge. Could also be a fabulous coffee bar among other possibilities. Upstairs are three excellent sized bedrooms, the master is HUGE, plus a full bathroom. Next- go up to the thrid story with three more large bedrooms and another full bath. Backyard is flat and usable. This house has retained many charming details and has endless possibilities.",Garfield,NA,,"Natural Gas,Radiant",0,On Street,NA,FALSE,"Hardwood,Tile,Wall to Wall",FALSE,3,NA,78,Asphalt,Colonial,12/3/2021,235000,90,66,79
"1545 Windcrest Dr, Pittsburgh, PA 15206",1545 Windcrest Dr,Pittsburgh,PA,15206,11278133,https://www.zillow.com/homedetails/1545-Windcrest-Dr-Pittsburgh-PA-15206/11278133_zpid/,TRUE,SOLD,355000,4,4,2424,40.485497,-79.93196,FALSE,1/21/2022,SINGLE_FAMILY,3000,sqft,196500,1965,2424,0,92.41,80,6.06,2.91,3.44,"Welcome to 1545 Windcrest Dr!  This spacious home includes 4 bedrooms, 2 full and 2 half baths.  The master suite includes a large walk-in closet, and ensuite bath with double vanity.  The main floor has an open concept kitchen, dining, and living space.  There is also a room on the main level that is perfect for a home office.  The lower level includes another room and half bath, allowing for even more living space.  Through the integral 2 car garage is a very large heated room that could be used as a workshop, home gym, or so many other possibilities!  The home contains gleaming hardwood floors, and large windows that allow plenty of natural light in.  This corner lot is located on a dead-end street with a park, and is conveniently located near Morningside, and all that East Liberty, Highland Park, and Lawrencevill have to offer!  Downtown, universities, and Fox Chapel shopping are all a short drive away!  This home is ready for you to make it your own!",Stanton Heights,TRUE,Central Air,Natural Gas,2,"Garage,Garage Door Opener",NA,FALSE,"Ceramic Tile,Hardwood,Wall to Wall,Carpet",FALSE,2,NA,146,Asphalt,Contemporary,11/5/2021,399900,40,47,40
"6035 Saint Marie St, Pittsburgh, PA 15206",6035 Saint Marie St,Pittsburgh,PA,15206,11623048,https://www.zillow.com/homedetails/6035-Saint-Marie-St-Pittsburgh-PA-15206/11623048_zpid/,TRUE,SOLD,600000,3,3,2310,40.46876,-79.91994,FALSE,1/14/2022,SINGLE_FAMILY,3497.868,sqft,418100,2019,2310,0,71.61,59.2,6.06,2.91,3.44,"It's a Show Stopper! Immaculate Home, Undeniable Quality, Contemporary Sleek Style with a Welcoming Feel! First Level is Wide Open, but with Defined Spaces. A Massive Living Room, with Whitewashed Exposed Brick & Working Gas Fireplace. Then through the LR to your Luxurious Kitchen, which includes a Large Island w/ Waterfall Edge, Quartz Countertops + Backsplash. Also, Eat-In Kitchen w/ Custom Built Bench, plus a Bar! To your Backyard, Completely Fenced in with Low Maintenance Landscaping, a Cement Patio + Trex Deck, and a Cable Connection for Outdoor TV. Truly a Home for Entertaining! But WAIT, the Master Suite – a must see! Vaulted Ceilings w/ Exposed Beams, Walk-In Closet and Spa-Like Master En-suite Bathroom w/ Dual Vanity & Luxurious Shower. Additional 2 Bedrooms Upstairs w/ Jack & Jill Bath. Impressive 6’ Windows Allow for Abundant Natural Light & Custom Plantation Shutters Incl. Hardwood Floors + Recessed Lighting Throughout! Newer LG Washer/Dryer included.",East Liberty,TRUE,Electric,"Natural Gas,Forced Air",2,Detached,NA,FALSE,"Hardwood,Tile",FALSE,2,NA,260,Other,Contemporary,11/10/2021,565000,77,52,91
"5800 Elgin St, Pittsburgh, PA 15206",5800 Elgin St,Pittsburgh,PA,15206,11620471,https://www.zillow.com/homedetails/5800-Elgin-St-Pittsburgh-PA-15206/11620471_zpid/,TRUE,SOLD,548000,5,2,2148,40.47659,-79.92026,FALSE,1/14/2022,SINGLE_FAMILY,5096,sqft,205900,1912,2148,0,85.21,72.8,6.06,2.91,3.44,"Craftsman-detailed house by Montel Davis capped his home-building career on one of Highland Park’s best corners. This 5 bd, 2 bath house is best suited for people who love gardens and historic homes, with all systems and amenities updated. Inviting spacious front porch and back patio have families living outside 3 seasons. Original woodwork throughout, oak hardwood floors, stained glass windows, built-ins, fireplace and mantles. Side entry professional office, new kitchen appliances, updated cabinetry, granite countertop and butler pantry. The 2nd floor has 3 bd and a bath. The 3rd floor has 2 bd and a bath. New boiler for efficient radiator heat. Open 800 sq. foot basement. Detached garage. One block from Bryant St Market, restaurants, coffee and ice cream shop, Highland Park tennis, basketball and deck hockey courts. Two blocks from reservoir, playground, and Zoo. Two frequent bus lines to East Liberty, Shadyside, Oakland, Chatham, CMU, and Pitt campuses, hospitals, and Downtown.",Highland Park,NA,,Natural Gas,2,"Detached,Garage Door Opener",NA,FALSE,"Ceramic Tile,Hardwood,Wall to Wall,Carpet",FALSE,3,NA,255,Other,Other,10/1/2021,559000,65,46,83
"1741 Duffield St, Pittsburgh, PA 15206",1741 Duffield St,Pittsburgh,PA,15206,11277915,https://www.zillow.com/homedetails/1741-Duffield-St-Pittsburgh-PA-15206/11277915_zpid/,TRUE,SOLD,350000,2,2,1248,40.486855,-79.928345,FALSE,1/12/2022,SINGLE_FAMILY,3889.908,sqft,159700,1956,1248,0,88.41,76,6.06,2.91,3.44,"Gorgeous 2-Bedroom Mid-Century Modern Home with tons of charm! Beautiful hardwood floors, open concept first floor great for entertaining. So much natural light coming in the many windows. Custom blinds for privacy. Updated Kitchen, featuring quartz counter tops, a farmhouse sink, stainless appliances, and generous cabinet space. Dining room leads out to a back deck with spacious yard. Large bedroom sizes with great closets. Bathroom recently updated with lovely tile and double sink. The basement includes tons of additional storage space and a second full bathroom. New roof and rear siding.  One of a kind character and charm await you in this beautiful home in a great location.",Stanton Heights,TRUE,Central Air,"Natural Gas,Forced Air",1,"Garage,Garage Door Opener",NA,FALSE,"Hardwood,Other",FALSE,2,NA,280,Other,Contemporary,11/9/2021,349900,50,46,42
"300 Paulson Ave, Pittsburgh, PA 15206",300 Paulson Ave,Pittsburgh,PA,15206,11285585,https://www.zillow.com/homedetails/300-Paulson-Ave-Pittsburgh-PA-15206/11285585_zpid/,TRUE,SOLD,185000,3,3,NA,40.462288,-79.91353,FALSE,1/7/2022,SINGLE_FAMILY,NA,NA,18100,1905,NA,0,69.21,56.8,6.06,2.91,3.44,"Located in the East End of Pittsburgh, welcome to 300 Paulson Ave in Lincoln-Larimer. This fully renovated & spacious 2-story charmer is perfectly situated all by itself on a large corner lot with remarkable open space in all directions!  Located just a ½ mile from Bakery Square, Target & Trader Joe's & less than 1 mile from the all new Whole Foods Market development. Unique floor plan with 1 of the 3 bedrooms on main first floor. Also, could convert the huge 2nd fl laundry room to 4th BR if desired. Note: The second full bathroom is in the unfinished basement.  Great outdoor space w/ lovely front & rear porch, along with the perfect green-space area in the private fenced backyard. Walking distance to Larimer Community Garden & Urban Farm. Large vacant lot next door owned by City of Pgh. Start packing your bags & schedule your moving company to move right into this ready-to-enjoy home in one of Pittsburgh’s most prized up-and-coming neighborhoods!",Larimer,TRUE,"Central Air,Electric","Natural Gas,Forced Air",0,On Street,NA,FALSE,Other,FALSE,2,NA,NA,,,10/7/2021,217000,87,65,86
"512 Lowell St, Pittsburgh, PA 15206",512 Lowell St,Pittsburgh,PA,15206,11285612,https://www.zillow.com/homedetails/512-Lowell-St-Pittsburgh-PA-15206/11285612_zpid/,TRUE,SOLD,63000,3,2,1548,40.46246,-79.91036,FALSE,1/7/2022,SINGLE_FAMILY,2626.668,sqft,21600,1925,1548,0,87.61,75.2,6.06,2.91,3.44,Great investment opportunity in up and coming East Liberty neighborhood. Lots of new development nearby with good shopping and restaurants. This all brick home sits on a flat lot and features 3 bedrooms and 1.5 bathrooms with covered front porch and 2-car detached garage. Large living room with original wood doors that lead to the formal dining room. First floor laundry and partial bathroom. Eat-in kitchen also has access to the back yard. The house has a great layout with tons of potential.,Larimer,NA,,"Natural Gas,Forced Air",2,Detached,NA,FALSE,"Vinyl,Wall to Wall",FALSE,2,NA,41,Asphalt,Colonial,10/14/2021,110000,82,62,79
"606 N Euclid Ave, Pittsburgh, PA 15206",606 N Euclid Ave,Pittsburgh,PA,15206,11622990,https://www.zillow.com/homedetails/606-N-Euclid-Ave-Pittsburgh-PA-15206/11622990_zpid/,TRUE,SOLD,620000,5,5,2470,40.46803,-79.924126,FALSE,1/5/2022,SINGLE_FAMILY,4051.08,sqft,72000,1910,2470,0,92.41,80,6.06,2.91,3.44,"Complete remodel , 5 bedrooms 4 full one half bathroom home move in ready!  The open floor plan is spacious with many features such as decorative and electric fireplace, new kitchen with stainless steel appliances and granite.  New windows and doors, new hardwood, new bathrooms, new kitchen, new furnace, new a/c, new deck, new pergola, new appliances. You get the point!",East Liberty,TRUE,Central Air,"Natural Gas,Forced Air",0,On Street,NA,FALSE,"Ceramic Tile,Hardwood",FALSE,3,NA,251,Asphalt,Other,9/15/2021,675000,78,54,95
"502 N Sheridan Ave, Pittsburgh, PA 15206",502 N Sheridan Ave,Pittsburgh,PA,15206,11623399,https://www.zillow.com/homedetails/502-N-Sheridan-Ave-Pittsburgh-PA-15206/11623399_zpid/,TRUE,SOLD,280000,6,3,2388,40.46561,-79.92057,FALSE,12/30/2021,SINGLE_FAMILY,3358.476,sqft,50100,1900,2388,0,78.01,65.6,6.06,2.91,3.44,"Looking for a home in the heart of East Liberty? This lovely home offers a spacious living room, dining room and kitchen along with a half bath that has a washer/dryer in it - all on the first floor. The second floor offers three bedrooms along with a full bath.  The third floor also has three bedrooms (office/sitting room - maybe?!?) that also could be closed off until out of town guests arrive.  They could have their own space - including a full bath!   Spacious front porch along with a rear porch and large back yard with back alley access.....possible parking pad or garage in the future? The exterior is freshly painted and updated!  The house has a brand NEW ROOF (2021) and NEW electrical panel (2018) and the third floor has it's on panel box! Wonderful original charm with wide baseboards/door frames and lovely fireplace with exposed brick! If you want city living with space....this is the house! Amazing location close to a bus line and only minutes from shops and restaurants!",East Liberty,TRUE,Window A/C,"Natural Gas,Hot Water",0,On Street,NA,FALSE,"Hardwood,Laminate,Wall to Wall,Carpet",FALSE,3,NA,117,Asphalt,,11/23/2021,299000,88,65,89
"1436 Morningside Ave, Pittsburgh, PA 15206",1436 Morningside Ave,Pittsburgh,PA,15206,11278669,https://www.zillow.com/homedetails/1436-Morningside-Ave-Pittsburgh-PA-15206/11278669_zpid/,TRUE,SOLD,220000,2,1,NA,40.482273,-79.92952,FALSE,12/29/2021,SINGLE_FAMILY,NA,NA,82400,1930,NA,0,74.01,61.6,6.06,2.91,3.44,"This home is ready to be yours! Commute times are short to Lawrenceville, Fox Chapel, and East End.  This 2-bedroom Cape Cod features a 1950’s retro eat-in kitchen. Additional room perfect for an office! Spacious basement provides plenty of storage.    A single car rear detached garage accompanies the property. Appliances included.   Schedule your showing today. Come be a part of this quiet, charming community and really experience that true Pittsburgh neighborly feeling.",Morningside,TRUE,Window A/C,"Natural Gas,Radiant",1,"Detached,Garage Door Opener",NA,FALSE,"Vinyl,Wall to Wall",FALSE,1,NA,NA,Asphalt,Cape Cod,8/1/2021,265000,50,47,58
