"Address","Street","City","State","ZipCode","zpid","url","hasImage","status","soldPrice","beds","baths","area","latitude","longitude","isZillowOwned","soldDate","Type","lotArea","lotAreaUnits","taxAssessedValue"
"6487 Centre Ave, Pittsburgh, PA 15206","6487 Centre Ave","Pittsburgh","PA",15206,11623607,"https://www.zillow.com/homedetails/6487-Centre-Ave-Pittsburgh-PA-15206/11623607_zpid/",TRUE,"SOLD",152500,3,1,1068,40.464207,-79.92069,FALSE,"2021-12-22","SINGLE_FAMILY",2212.848,"sqft",38100
"1146 Duffield St, Pittsburgh, PA 15206","1146 Duffield St","Pittsburgh","PA",15206,11619635,"https://www.zillow.com/homedetails/1146-Duffield-St-Pittsburgh-PA-15206/11619635_zpid/",TRUE,"SOLD",354000,4,3,1914,40.47902,-79.93161,FALSE,"2021-01-29","SINGLE_FAMILY",4000,"sqft",126500
"5449 Kincaid St, Pittsburgh, PA 15206","5449 Kincaid St","Pittsburgh","PA",15206,11520451,"https://www.zillow.com/homedetails/5449-Kincaid-St-Pittsburgh-PA-15206/11520451_zpid/",TRUE,"SOLD",100000,4,2,2099,40.46617,-79.93309,FALSE,"2020-09-10","SINGLE_FAMILY",2618,"sqft",30000
"6345 Morrowfield Ave, Pittsburgh, PA 15217","6345 Morrowfield Ave","Pittsburgh","PA",15217,11635914,"https://www.zillow.com/homedetails/6345-Morrowfield-Ave-Pittsburgh-PA-15217/11635914_zpid/",TRUE,"SOLD",307000,4,4,NA,40.42748,-79.921005,FALSE,"2022-01-14","TOWNHOUSE",NA,NA,173700
"5624 Pocusset St, Pittsburgh, PA 15217","5624 Pocusset St","Pittsburgh","PA",15217,11635346,"https://www.zillow.com/homedetails/5624-Pocusset-St-Pittsburgh-PA-15217/11635346_zpid/",TRUE,"SOLD",240000,3,2,1300,40.42914,-79.92643,FALSE,"2021-12-06","SINGLE_FAMILY",2731.212,"sqft",139100
"4344 Murray Ave, Pittsburgh, PA 15217","4344 Murray Ave","Pittsburgh","PA",15217,11639916,"https://www.zillow.com/homedetails/4344-Murray-Ave-Pittsburgh-PA-15217/11639916_zpid/",TRUE,"SOLD",185000,3,1,1120,40.4206,-79.92884,FALSE,"2021-11-29","SINGLE_FAMILY",2952.6,"sqft",95200
"867 Flemington St, Pittsburgh, PA 15217","867 Flemington St","Pittsburgh","PA",15217,11539952,"https://www.zillow.com/homedetails/867-Flemington-St-Pittsburgh-PA-15217/11539952_zpid/",TRUE,"SOLD",85000,NA,0,NA,40.427013,-79.933754,FALSE,"2020-07-17","TOWNHOUSE",NA,NA,77000
"7803 Union Ave, Pittsburgh, PA 15218","7803 Union Ave","Pittsburgh","PA",15218,11344820,"https://www.zillow.com/homedetails/7803-Union-Ave-Pittsburgh-PA-15218/11344820_zpid/",TRUE,"SOLD",240000,3,2,1068,40.424274,-79.88439,FALSE,"2022-01-07","SINGLE_FAMILY",3449.952,"sqft",44200
"7544 Ormond St, Pittsburgh, PA 15218","7544 Ormond St","Pittsburgh","PA",15218,11383373,"https://www.zillow.com/homedetails/7544-Ormond-St-Pittsburgh-PA-15218/11383373_zpid/",TRUE,"SOLD",169000,3,2,1128,40.41851,-79.881996,FALSE,"2021-08-20","SINGLE_FAMILY",2874.96,"sqft",49000
"2110 Monongahela Ave, Pittsburgh, PA 15218","2110 Monongahela Ave","Pittsburgh","PA",15218,11346085,"https://www.zillow.com/homedetails/2110-Monongahela-Ave-Pittsburgh-PA-15218/11346085_zpid/",TRUE,"SOLD",160000,3,2,1243,40.418205,-79.888374,FALSE,"2021-07-21","SINGLE_FAMILY",3000,"sqft",44700
"442 Locust St, Pittsburgh, PA 15218","442 Locust St","Pittsburgh","PA",15218,11381542,"https://www.zillow.com/homedetails/442-Locust-St-Pittsburgh-PA-15218/11381542_zpid/",TRUE,"SOLD",349000,NA,0,NA,40.43137,-79.87609,FALSE,"2020-01-30","TOWNHOUSE",NA,NA,187700
"7932 Madiera St, Pittsburgh, PA 15221","7932 Madiera St","Pittsburgh","PA",15221,11341295,"https://www.zillow.com/homedetails/7932-Madiera-St-Pittsburgh-PA-15221/11341295_zpid/",TRUE,"SOLD",40000,3,1,1340,40.447807,-79.88638,FALSE,"2021-11-15","SINGLE_FAMILY",3959,"sqft",31300
"943 Lilly Ln, Pittsburgh, PA 15221","943 Lilly Ln","Pittsburgh","PA",15221,11455474,"https://www.zillow.com/homedetails/943-Lilly-Ln-Pittsburgh-PA-15221/11455474_zpid/",TRUE,"SOLD",156500,3,1,NA,40.42581,-79.839386,FALSE,"2021-09-30","SINGLE_FAMILY",NA,NA,106600
"750 Princeton Blvd, Pittsburgh, PA 15221","750 Princeton Blvd","Pittsburgh","PA",15221,11380039,"https://www.zillow.com/homedetails/750-Princeton-Blvd-Pittsburgh-PA-15221/11380039_zpid/",TRUE,"SOLD",108000,3,1,1261,40.440804,-79.87026,FALSE,"2021-08-19","SINGLE_FAMILY",3600,"sqft",32500
"16 Sumner Ave, Pittsburgh, PA 15221","16 Sumner Ave","Pittsburgh","PA",15221,11456258,"https://www.zillow.com/homedetails/16-Sumner-Ave-Pittsburgh-PA-15221/11456258_zpid/",TRUE,"SOLD",238780,NA,0,NA,40.4174,-79.84749,FALSE,"2020-12-28","MULTI_FAMILY",NA,NA,87100
"2007 Robinson Blvd, Pittsburgh, PA 15221","2007 Robinson Blvd","Pittsburgh","PA",15221,11378331,"https://www.zillow.com/homedetails/2007-Robinson-Blvd-Pittsburgh-PA-15221/11378331_zpid/",TRUE,"SOLD",18492,2,1,1268,40.451447,-79.868546,FALSE,"2020-12-17","SINGLE_FAMILY",4791,"sqft",46500
"702 Bellefonte St, Pittsburgh, PA 15232","702 Bellefonte St","Pittsburgh","PA",15232,11528745,"https://www.zillow.com/homedetails/702-Bellefonte-St-Pittsburgh-PA-15232/11528745_zpid/",TRUE,"SOLD",855500,4,4,2956,40.45219,-79.93471,FALSE,"2021-06-07","SINGLE_FAMILY",0,"sqft",550000
