Time,Median_Price
2020-01-01,165500
2020-02-01,159000
2020-03-01,179950
2020-04-01,190500
2020-05-01,197750
2020-06-01,209250
2020-07-01,215000
2020-08-01,215000
2020-09-01,202750
2020-10-01,208000
2020-11-01,203500
2020-12-01,210000
2021-01-01,202250
2021-02-01,205000
2021-03-01,224000
2021-04-01,230000
2021-05-01,225000
2021-06-01,250000
2021-07-01,240000
2021-08-01,240000
2021-09-01,234000
2021-10-01,225000
2021-11-01,215000
2021-12-01,215000
2022-01-01,209750
2022-02-01,223500
2022-03-01,230000
2022-04-01,240500
2022-05-01,251000
