"suburb","medTaxAssessedDiff","meanTaxAssessedDiff"
"Braddock Hills",0.615714285714286,0.825391562218652
"Churchill",0.595833333333333,0.780110536286345
"East Hills",0.89010989010989,1.93071275177864
"East Liberty",0.358231801755292,0.423466390736313
"Edgewood",0.613189587800333,2.84900701945641
"Forest Hills",0.601209677419355,1.01861266803875
"Friendship",0.435459940652819,0.413287218026229
"Garfield",0.425365957446808,1.60975715043336
"Greenfield",0.484423302107728,0.714056080124703
"Highland Park",0.428070175438596,0.480181409292988
"Homewood North",1.08698412698413,2.88060373267087
"Homewood South",0.5375,1.00201026113245
"Larimer",0.367220744680851,0.539101014933821
"Lincoln-Lemington-Belmar",0.792727272727273,1.73401848988567
"Morningside",0.401923076923077,0.509688864547077
"Point Breeze",0.540540540540541,0.635968345207805
"Point Breeze North",0.356085347200979,0.367740923645036
"Regent Square",0.586410732636303,0.619852186429487
"Shadyside",0.582876528413593,1.43534692698114
"Squirrel Hill North",0.562198251942286,0.616992324616817
"Squirrel Hill South",0.550142857142857,0.569917965008834
"Stanton Heights",0.434538123167155,0.445934344628074
"Swisshelm Park",0.625763612217795,0.747035743272742
"Swissvale",0.50889844062375,1.1893460385269
"Wilkinsburg",0.596552208412331,2.29505664765946
