"Address","Street","City","State","ZipCode","zpid","url","hasImage","status","soldPrice","beds","baths","area","latitude","longitude","isZillowOwned","soldDate","Type","lotArea","lotAreaUnits","taxAssessedValue"
"106 N Fairmount St, Pittsburgh, PA 15206","106 N Fairmount St","Pittsburgh","PA","15206","11623557","https://www.zillow.com/homedetails/106-N-Fairmount-St-Pittsburgh-PA-15206/11623557_zpid/","TRUE","SOLD","220000","6","3","2815","40.464703","-79.931816","FALSE","2022-01-21","SINGLE_FAMILY","3624.192","sqft","78100"
"1545 Windcrest Dr, Pittsburgh, PA 15206","1545 Windcrest Dr","Pittsburgh","PA","15206","11278133","https://www.zillow.com/homedetails/1545-Windcrest-Dr-Pittsburgh-PA-15206/11278133_zpid/","TRUE","SOLD","355000","4","4","2424","40.485497","-79.93196","FALSE","2022-01-21","SINGLE_FAMILY","3000","sqft","196500"
"6035 Saint Marie St, Pittsburgh, PA 15206","6035 Saint Marie St","Pittsburgh","PA","15206","11623048","https://www.zillow.com/homedetails/6035-Saint-Marie-St-Pittsburgh-PA-15206/11623048_zpid/","TRUE","SOLD","600000","3","3","2310","40.46876","-79.91994","FALSE","2022-01-14","SINGLE_FAMILY","3497.868","sqft","418100"
"5800 Elgin St, Pittsburgh, PA 15206","5800 Elgin St","Pittsburgh","PA","15206","11620471","https://www.zillow.com/homedetails/5800-Elgin-St-Pittsburgh-PA-15206/11620471_zpid/","TRUE","SOLD","548000","5","2","2148","40.47659","-79.92026","FALSE","2022-01-14","SINGLE_FAMILY","5096","sqft","205900"
"1741 Duffield St, Pittsburgh, PA 15206","1741 Duffield St","Pittsburgh","PA","15206","11277915","https://www.zillow.com/homedetails/1741-Duffield-St-Pittsburgh-PA-15206/11277915_zpid/","TRUE","SOLD","350000","2","2","1248","40.486855","-79.928345","FALSE","2022-01-12","SINGLE_FAMILY","3889.908","sqft","159700"
"300 Paulson Ave, Pittsburgh, PA 15206","300 Paulson Ave","Pittsburgh","PA","15206","11285585","https://www.zillow.com/homedetails/300-Paulson-Ave-Pittsburgh-PA-15206/11285585_zpid/","TRUE","SOLD","185000","3","3",NA,"40.462288","-79.91353","FALSE","2022-01-07","SINGLE_FAMILY",NA,NA,"18100"
"512 Lowell St, Pittsburgh, PA 15206","512 Lowell St","Pittsburgh","PA","15206","11285612","https://www.zillow.com/homedetails/512-Lowell-St-Pittsburgh-PA-15206/11285612_zpid/","TRUE","SOLD","63000","3","2","1548","40.46246","-79.91036","FALSE","2022-01-07","SINGLE_FAMILY","2626.668","sqft","21600"
"606 N Euclid Ave, Pittsburgh, PA 15206","606 N Euclid Ave","Pittsburgh","PA","15206","11622990","https://www.zillow.com/homedetails/606-N-Euclid-Ave-Pittsburgh-PA-15206/11622990_zpid/","TRUE","SOLD","620000","5","5","2470","40.46803","-79.924126","FALSE","2022-01-05","SINGLE_FAMILY","4051.08","sqft","72000"
"502 N Sheridan Ave, Pittsburgh, PA 15206","502 N Sheridan Ave","Pittsburgh","PA","15206","11623399","https://www.zillow.com/homedetails/502-N-Sheridan-Ave-Pittsburgh-PA-15206/11623399_zpid/","TRUE","SOLD","280000","6","3","2388","40.46561","-79.92057","FALSE","2021-12-30","SINGLE_FAMILY","3358.476","sqft","50100"
"1436 Morningside Ave, Pittsburgh, PA 15206","1436 Morningside Ave","Pittsburgh","PA","15206","11278669","https://www.zillow.com/homedetails/1436-Morningside-Ave-Pittsburgh-PA-15206/11278669_zpid/","TRUE","SOLD","220000","2","1",NA,"40.482273","-79.92952","FALSE","2021-12-29","SINGLE_FAMILY",NA,NA,"82400"
"827 Farragut St, Pittsburgh, PA 15206","827 Farragut St","Pittsburgh","PA","15206","11622636","https://www.zillow.com/homedetails/827-Farragut-St-Pittsburgh-PA-15206/11622636_zpid/","TRUE","SOLD","410000","4","3","2330","40.47019","-79.919624","FALSE","2021-12-29","SINGLE_FAMILY","3062.268","sqft","71500"
"819 N Beatty St, Pittsburgh, PA 15206","819 N Beatty St","Pittsburgh","PA","15206","11622459","https://www.zillow.com/homedetails/819-N-Beatty-St-Pittsburgh-PA-15206/11622459_zpid/","TRUE","SOLD","213000","3","1","1232","40.4705","-79.92143","FALSE","2021-12-27","SINGLE_FAMILY","3327.984","sqft","57900"
