"variable","relative_importance","scaled_importance","percentage"
"suburb",872774935511040,1,0.361806445036438
"livingArea",386326838902784,0.442641995300399,0.160150726743473
"baths",257051460632576,0.294522047063672,0.106559974832962
"walk_score",202879927320576,0.232453888243001,0.0841033149400979
"beds",142597058199552,0.163383539555998,0.0591132176242261
"yearBuilt",118698736091136,0.136001540903135,0.0492062340336412
"transit_score",85712875552768,0.0982073064490333,0.0355320364229288
"sunScore",66124532154368,0.0757635553725541,0.0274117426326651
"bike_score",55156439777280,0.063196635848604,0.0228649501546457
"lotArea",36205840302080,0.0414835931108405,0.0150090313507713
"heatingGas",31530783080448,0.0361270492512318,0.0130709992592445
"flooringHardwood",19303323664384,0.0221171837996026,0.00800213964475173
"parkingCapacity",17598412488704,0.0201637464283957,0.00729537341387402
"CentralAir",16483017031680,0.0188857589293953,0.00683298930005967
"heatingRadiant",10538234937344,0.012074401439099,0.00436859626062325
"parkingGarage",9926692831232,0.0113737143762264,0.00411508316532231
"parkingOffStreet",8851963248640,0.0101423206470255,0.00366955697771998
"hasImage",8415043649536,0.00964171094648668,0.00348843316161726
"view",7055448997888,0.00808392715099774,0.00292481694443604
"parkingStreet",6207022039040,0.00711182435069079,0.00257310388604701
"stories",5286609289216,0.00605724233604452,0.00219154931632848
"phraseExclamation",4843959222272,0.00555006683302115,0.00200804995057003
"parkingCovered",4820196392960,0.00552284007805243,0.00199819913514492
"flooringTile",4497039949824,0.0051525768750346,0.00186423552193323
"hasCooling",3981965787136,0.00456241996088536,0.00165071294681122
"phraseLocation",3831042408448,0.00438949636678646,0.00158814807596737
"phraseOld",2934652796928,0.00336243936154017,0.00121655223204944
"phraseOpen",2469806473216,0.00282983203656031,0.00102385146919811
"parkingAttached",2458634158080,0.00281703112457095,0.00101922001673801
"flooringVinyl",2418162794496,0.0027706602196133,0.00100244272446217
"climateFactor",2277037572096,0.00260896306647798,0.000943939652313761
"phraseRenovated",2023874625536,0.0023188963651333,0.000838991650276798
"phraseCustom",2003110068224,0.00229510494254869,0.0008303837602491
"flooringCarpet",1832296906752,0.00209939221693978,0.000759573634748151
"heatingElectric",1707553980416,0.00195646541959431,0.000707861798300139
"parkingDetached",1512803532800,0.00173332605147993,0.000627128536774999
"heatingForcedAir",1335777689600,0.00153049501681422,0.000553742961179537
"WindowWallAir",1059293233152,0.00121370721139207,0.000439127091468855
"phraseSmall",1046731096064,0.00119931388205036,0.000433919492147492
"flooringLaminate",255073583104,0.000292255852827219,0.000105740051152509
"phraseStainless",236074893312,0.000270487709610691,9.78641966402927e-05
"buildFactor",0,0,0
"electricityFactor",0,0,0
"solarFactor",0,0,0
