"variable","relative_importance","scaled_importance","percentage"
"suburb",6786914300461056,1,0.240920441598062
"livingArea",3863218124488704,0.569215692649348,0.137135696037628
"baths",3698527603523584,0.544949801896324,0.131289546921639
"beds",1823850614489088,0.2687304618485,0.0647426615393918
"bike_score",1198158705065984,0.176539536529081,0.0425319831001033
"walk_score",1171706135707648,0.172641952415408,0.0415929754142717
"climateFactor",1078387368001536,0.158892144538834,0.038280365628759
"transit_score",1068520016183296,0.157438265591582,0.037930096470757
"yearBuilt",1042331922857984,0.153579650001942,0.0370004770989437
"lotArea",944027637645312,0.139095264188201,0.0335108924724206
"sunScore",849293409779712,0.125136899065016,0.0301480369829559
"buildFactor",754550591979520,0.111177268280559,0.0267848765698185
"heatingElectric",371374715568128,0.0547192286696326,0.0131829807349932
"heatingGas",355644565618688,0.052401511183739,0.0126245952147922
"parkingCapacity",296085583036416,0.0436259498688973,0.0105103831075497
"heatingForcedAir",212750366146560,0.0313471419746831,0.00755216728737781
"stories",198978956165120,0.0293180298669165,0.0070633127023227
"parkingGarage",187802713063424,0.0276712957832201,0.00666658079968397
"hasImage",183657314648064,0.0270605029793271,0.00651942832764516
"parkingOffStreet",168858585399296,0.0248800232217202,0.00599410618154687
"phraseExclamation",168256836993024,0.024791360188767,0.00597274544449438
"heatingRadiant",146813273243648,0.0216318148048038,0.00521154637534083
"parkingStreet",143187012222976,0.0210975129320918,0.00508282213222039
"CentralAir",137815979458560,0.0203061322653209,0.00489216235250977
"view",132164490362880,0.019473428499591,0.00469154699354975
"phraseCustom",132099671588864,0.0194638779481701,0.00468924607048392
"parkingCovered",130204626321408,0.0191846574978209,0.00462197615628258
"parkingAttached",128054819028992,0.0188678998083552,0.00454566275385692
"phraseOpen",117379551985664,0.0172949807216057,0.00416671439287922
"hasCooling",101253174525952,0.0149188821375089,0.00359426367271808
"flooringVinyl",85895336165376,0.0126560219214115,0.0030490943901812
"phraseLocation",73932795281408,0.0108934328633538,0.00262445065595803
"parkingDetached",71091909296128,0.010474850005296,0.00252360548894938
"flooringHardwood",60542903386112,0.00892053453246038,0.00214913911885112
"flooringTile",59777749090304,0.00880779488938635,0.00212197783425611
"phraseOld",59095860117504,0.00870732375587672,0.00209777228440312
"flooringCarpet",48790207725568,0.0071888645657797,0.00173194442577631
"phraseSmall",39930000572416,0.00588338069477368,0.00141742667507439
"phraseRenovated",36001988739072,0.00530461814386345,0.00127799094572867
"WindowWallAir",13949975134208,0.00205542231957465,0.000495193252902437
"phraseStainless",13366082928640,0.0019693902614524,0.000474466371468034
"flooringLaminate",8810138697728,0.00129810666640206,0.000312740431310974
"solarFactor",7716187668480,0.00113692133521648,0.000273907590142613
"electricityFactor",0,0,0
